Record_Year,Primary diagnosis: summary code and description,Unnamed: 1,Finished consultant episodes,Admissions,Male,Female,Gender Unknown,Emergency,Waiting list,Planned,Other Admission Method,Mean time waited,Median time waited,Mean length of stay,Median length of stay,Mean age,Age 0,Age 1-4,Age 5-9,Age 10-14,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20-24,Age 25-29,Age 30-34,Age 35-39,Age 40-44,Age 45-49,Age 50-54,Age 55-59,Age 60-64,Age 65-69,Age 70-74,Age 75-79,Age 80-84,Age 85-89,Age 90+,Day case,FCE bed days,Emergency.1,Elective,Other
2012-13,E15-E90,Endocrine nutritional and metabolic diseases,206009.0,168170.0,101925.0,104076.0,8.0,62575.0,39019.0,65021.0,1555.0,71.0,30.0,6.2,2.0,55.0,2591.0,4775.0,5457.0,5970.0,1401.0,1184.0,1177.0,1041.0,1084.0,5882.0,6129.0,6937.0,7230.0,10033.0,13192.0,14377.0,14940.0,16051.0,17367.0,15645.0,16293.0,15575.0,12725.0,7969.0,83210.0,532251.0,,,
2012-13,F00-F03,Dementia,25622.0,13523.0,10668.0,14953.0,1.0,10429.0,839.0,1451.0,804.0,30.0,18.0,51.1,21.0,83.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,4.0,4.0,4.0,21.0,36.0,71.0,195.0,413.0,924.0,1873.0,3926.0,6406.0,6695.0,5010.0,147.0,840444.0,,,
2012-13,F04-F09,Other organic including symptomatic mental disorders,19070.0,10468.0,7992.0,11076.0,2.0,9207.0,351.0,576.0,334.0,42.0,29.0,22.5,10.0,78.0,0.0,9.0,17.0,49.0,9.0,9.0,11.0,17.0,17.0,183.0,154.0,123.0,138.0,241.0,309.0,341.0,458.0,630.0,889.0,1373.0,2415.0,3836.0,4099.0,3657.0,183.0,213512.0,,,
2012-13,F10-F19,Mental and behavioural disorders due to psychoactive subst.,70306.0,52010.0,49888.0,20413.0,5.0,45443.0,2896.0,3016.0,655.0,27.0,14.0,6.8,2.0,44.0,3.0,2.0,8.0,798.0,572.0,373.0,389.0,591.0,721.0,3507.0,4848.0,6781.0,8198.0,9887.0,9730.0,7868.0,5409.0,4046.0,2802.0,1583.0,914.0,512.0,223.0,210.0,223.0,379758.0,,,
2012-13,F20-F29,"Schizophrenia, schizotypal and delusional disorders",42878.0,30276.0,26568.0,16307.0,3.0,20265.0,1972.0,5927.0,2112.0,69.0,13.0,103.9,30.0,42.0,0.0,0.0,3.0,95.0,93.0,116.0,179.0,343.0,538.0,3873.0,5191.0,5374.0,4729.0,5142.0,4771.0,3383.0,2352.0,2030.0,1643.0,1045.0,766.0,549.0,346.0,192.0,23.0,2951103.0,,,
2012-13,F30-F39,Mood [affective] disorders,39578.0,31036.0,17028.0,22546.0,4.0,22225.0,1986.0,4588.0,2237.0,35.0,17.0,41.4,20.0,51.0,2.0,0.0,5.0,272.0,312.0,282.0,302.0,269.0,288.0,2015.0,2397.0,2657.0,2954.0,3664.0,4230.0,3799.0,3081.0,2751.0,2893.0,2300.0,2018.0,1591.0,1017.0,412.0,126.0,1301229.0,,,
2012-13,F40-F69,"Neurotic, bahavioural & personality disorders",37903.0,31445.0,13539.0,24266.0,98.0,22471.0,3313.0,3949.0,1712.0,61.0,40.0,23.7,5.0,42.0,4.0,72.0,156.0,1063.0,601.0,529.0,540.0,762.0,824.0,4149.0,3831.0,3484.0,3297.0,3548.0,3442.0,2614.0,1741.0,1365.0,1398.0,1162.0,1087.0,985.0,728.0,437.0,1492.0,735185.0,,,
2012-13,F70-F79,Mental retardation,3986.0,3714.0,2357.0,1629.0,0.0,638.0,495.0,2485.0,96.0,19.0,7.0,91.7,6.0,30.0,2.0,30.0,173.0,339.0,65.0,80.0,111.0,135.0,118.0,584.0,605.0,330.0,371.0,348.0,249.0,188.0,108.0,69.0,41.0,26.0,13.0,0.0,0.0,0.0,35.0,396447.0,,,
2012-13,F80-F99,Other mental and behavioural disorders,7765.0,6693.0,4638.0,3127.0,0.0,3598.0,1391.0,1520.0,184.0,59.0,20.0,65.8,6.0,30.0,66.0,936.0,672.0,734.0,211.0,197.0,170.0,137.0,152.0,664.0,513.0,498.0,420.0,424.0,425.0,308.0,225.0,202.0,181.0,149.0,165.0,153.0,99.0,57.0,1432.0,398541.0,,,
2012-13,G00-G09,Inflammatory diseases of the central nervous system,9530.0,5941.0,5007.0,4523.0,0.0,3885.0,615.0,721.0,720.0,25.0,10.0,16.8,8.0,40.0,1123.0,468.0,359.0,346.0,117.0,63.0,85.0,76.0,83.0,448.0,470.0,389.0,440.0,435.0,553.0,607.0,584.0,653.0,720.0,493.0,384.0,303.0,166.0,100.0,945.0,91948.0,,,
